Job Title,Company Name,Location,Working Days,Job Type,Key Indicators,Job Description,Job Conditions
کارشناس ارشد هوش مصنوعی (توسعه الگوریتم),متیران,"{'City': 'تهران', 'Neighborhood': '، سهروردی'}",شنبه تا چهارشنبه از ساعت 7:30 تا 16:30,تمام وقت,[],"['توسعه الگوریتم های هوش مصنوعی', 'مطالعه و شناسایی مسایل بروز در حوزه کاری', 'بهینه سازی الگوریتم های هوش مصنوعی و یادگیری ماشین']","[('سن', '20 - 40 سال'), ('جنسیت', 'تفاوتی ندارد'), ('تحصیلات', 'کارشناسی ارشد|کامپیوتر / فناوری اطلاعاتکارشناسی ارشد|مهندسی برقکارشناسی ارشد|مهندسی پزشکی')]"
کارشناس تحلیل داده,سامان پویش تامین - اسپات,"{'City': 'تهران', 'Neighborhood': '، اکباتان'}",شنبه تا چهارشنبه 7:30 - 16:00 ، پنجشنبه ها 7:30 - 12:00,تمام وقت,"['Sql Server - پیشرفته', 'T-Sql - پیشرفته', 'Microsoft ERP - متوسط', 'PowerBI - متوسط']",[],"[('سن', '25 - 35 سال'), ('جنسیت', 'تفاوتی ندارد'), ('خدمت سربازی', 'اتمام خدمت سربازی و یا معافیت از آن الزامی است'), ('تحصیلات', 'کارشناسی|کامپیوتر / فناوری اطلاعاتکارشناسی|ریاضی و آمارکارشناسی|مدیریت / بازرگانی / کسب و کار'), ('زبان', 'انگلیسی|متوسط ۵۰٪'), ('نرم افزارها', 'Sql Server|پیشرفتهT-Sql|پیشرفتهMicrosoft ERP|متوسطPowerBI|متوسط')]"
برنامه نویس هوش مصنوعی,فراهوش,"{'City': 'اراک', 'Neighborhood': ''}",شنبه تا پنجشنبه ساعت 8 تا 15,تمام وقت یا پاره وقت,"['Python - متوسط', 'Rest API - متوسط']","['جای شما در تیم استارتاپی فراهوش خالیه...!', 'شرکت ایده فراهوش پویا سوران به چند نفر همکار برای تکمیل پروژه خود با دریافت مقداری از سهام شرکت نیاز \xa0دارد:', 'با توجه به اینکه هر تیم در زمان لانچ محصول نیاز به تیمی دارد که بتوانند در تمامی مراحل بصورت کامل روی پروژه باشند؛ هیات مدیره شرکت به آزاد سازی سهام اقدام کرده است.', 'در حال حاضر کمتر از یک ماه به تکمیل پروژه مانده است و بیش از یک میلیارد تومان در پروژه هزینه شده است با حضور در تیم بصورت رسمی و قانونی دریافت کننده سهام میشوید.', 'درصورت ادامه همکاری پروژه امریه در صورت مهیا شدن شرایط اعطا خواهد شد.', 'شرح وظایف', 'به عنوان متخصص هوش مصنوعی برای ابزارهای یادگیری و پلتفرم آموزشی در فراهوش، شما نقش کلیدی در طراحی، توسعه و اجرای راهکارهای هوش مصنوعی پیشرفته را دارید که تجربه یادگیری دانش آموزان را بهبود بخشند و قابلیت های پلتفرم آموزشی ما را ارتقا دهند. شما با تیمی کوچک ولی متخصص از مهندسین، طراحان و مربیان در حوزه آموزش همکاری خواهید کرد تا راهکارهای نوآورانه ای ایجاد کنید که نیازهای مختلف یادگیرندگان و مدرسین را برآورده کند.', 'مسئولیت ها', 'تحقیق، توسعه و پیاده سازی الگوریتم ها و مدل های هوش مصنوعی برای ابزارهای یادگیری و پلتفرم آموزشی', 'طراحی و نظارت بر یکپارچگی مؤلفه های هوش مصنوعی در ابزارهای یادگیری و پلتفرم آموزشی ما', 'همکاری با سایر تیم های مجموعه برای جمع آوری نیازمندی ها، تعریف ویژگی ها و ارائه راهکار در مورد جوانب مربوط به هوش مصنوعی', 'کاوش و ارزیابی مداوم فناوری ها و روش های جدید هوش مصنوعی در حوزه آموزش', 'تحلیل داده ها و ارائه برآوردهایی برای بهبود کارایی و شخصی سازی ابزارهای یادگیری و پلتفرم آموزشی ما', 'همکاری نزدیک با مدرسان مجموعه و طراحان آموزشی برای درک نیازهای آنها و توسعه ویژگی های مبتنی بر هوش مصنوعی که اهداف آموزشی آنها را پشتیبانی می کند', 'به روز بودن با جریان جدیدترین روندها و پیشرفت های هوش مصنوعی و آموزشی و ارائه راه حل های نوآورانه و پیشگام.', 'الزامات', 'مدرک کارشناسی ارشد در رشته \xa0هوش مصنوعی', 'فهم قوی از الگوریتم های یادگیری ماشین، معماری های یادگیری عمیق و تکنیک های پردازش زبان طبیعی و بینایی ماشین', 'مهارت در زبان های برنامه نویسی به خصوص پایتون و چارچوب هایی مانند TensorFlow یا PyTorch', 'تجربه در تجزیه و تحلیل داده ها، پیش پردازش داده ها و مهندسی ویژگی', 'مهارت های قوی حل مسئله و توانایی تبدیل نیازهای تجاری به راه حل های هوش مصنوعی', 'مهارت های برقراری ارتباط و همکاری بالا، با توانایی کار مؤثر در محیط استارتاپ', 'علاقه مندی به حوزه آموزش و اراده قوی برای ایجاد تأثیر مثبت در این حوزه', 'مهارت های نوشتاری و کلامی عالی به زبان انگلیسی', 'آشنایی با ساخت API برای مدل های هوش مصنوعی مزیت محسوب میشود', 'مزایا', 'محیط کاری انعطاف پذیر و حامی که از خلاقیت و نوآوری استقبال میکند', 'فرصت کار با تیمی پویا و با استعداد از متخصص هایی که دغدغه ی تحول سیستم آموزش را دارند', 'حمایت از توسعه و پیشرفت فردی در بستر مجموعه', 'به روز بودن با آخرین روندها و پیشرفت های در حوزه هوش مصنوعی و آموزش و ارائه راه حل های نوآورانه', 'فرصتی برای تأثیرگذاری واقعی بر دنیای آموزش', 'فرصتی برای کار بر روی پروژه های پیشرفته هوش مصنوعی', 'اطلاعات تکمیلی و شرایط کار', 'تمام وقت(35 ساعت در هفته)', 'هیبریدی (حضوری/دورکاری)', 'ترجیحا ساکن تهران، اما در صورتی که امکان شرکت در جلسات آخر اسپرینت را به صورت حضوری دارید ما پذیرای همکاران ریموت نیز هستیم.', 'لطفا بصورت دقیق آگهی را مطالعه کنید سپس اقدام به ارسال رزومه نمایید؛ با توجه به نوع همکاری افراد واجد شرایط باید تمام فیچرهای فنی را داشته باشند.']","[('سن', '24 - 40 سال'), ('جنسیت', 'ترجیحاً خانم'), ('نرم افزارها', 'Rest API|متوسطPython|متوسط')]"
کارشناس تحلیل داده (Data Analysis),باغ دارو سبز سلامت گستر پنجاه چهل,"{'City': 'تهران', 'Neighborhood': '، پونک'}",8 الی 16:30,تمام وقت,"['Microsoft Word - متوسط', 'Microsoft Excel - پیشرفته', 'PowerBI - متوسط']","['شرایط احراز:', 'مسلط به کار با اکسل بصورت حرفه ای', 'تحصیلات کارشناسی به بالا', 'مسلط به فرمول نویسی در اکسل (ویلوکاپ و سام ایفز و کانت ایفز)', 'دانشجو پذیرفته نمیشود', 'تسلط به پاور بی ای', 'ترجیحا ساکن غرب تهران', 'ساعات کاری: 8 لغایت 16:30', 'تسهیلات و مزایا:', 'بیمه تامین اجتماعی + بیمه درمان تکمیلی', 'حقوق ماهیانه 10 میلیون تومان', 'کمک هزینه رفت و آمد (تخفیفات اسنپ و تپسی)']","[('سن', '22 - 40 سال'), ('جنسیت', 'تفاوتی ندارد'), ('تحصیلات', 'کارشناسی|مهندسی صنایعکارشناسی|مالی و حسابداریکارشناسی|کامپیوتر / فناوری اطلاعات'), ('نرم افزارها', 'Microsoft Excel|پیشرفتهMicrosoft Word|متوسطPowerBI|متوسط')]"
برنامه نویس هوش مصنوعی,فراهوش,"{'City': 'کرمان', 'Neighborhood': ''}",شنبه تا پنجشنبه ساعت 8 تا 15,تمام وقت یا پاره وقت,['Python - متوسط'],"['جای شما در تیم استارتاپی فراهوش خالیه...!', 'شرکت ایده فراهوش پویا سوران به چند نفر همکار برای تکمیل پروژه خود با دریافت مقداری از سهام شرکت نیاز \xa0دارد:', 'با توجه به اینکه هر تیم در زمان لانچ محصول نیاز به تیمی دارد که بتوانند در تمامی مراحل بصورت کامل روی پروژه باشند؛ هیات مدیره شرکت به آزاد سازی سهام اقدام کرده است.', 'در حال حاضر کمتر از یک ماه به تکمیل پروژه مانده است و بیش از یک میلیارد تومان در پروژه هزینه شده است با حضور در تیم بصورت رسمی و قانونی دریافت کننده سهام میشوید.', 'درصورت ادامه همکاری پروژه امریه در صورت مهیا شدن شرایط اعطا خواهد شد.', 'شرح وظایف', 'به عنوان متخصص هوش مصنوعی برای ابزارهای یادگیری و پلتفرم آموزشی در فراهوش، شما نقش کلیدی در طراحی، توسعه و اجرای راهکارهای هوش مصنوعی پیشرفته را دارید که تجربه یادگیری دانش آموزان را بهبود بخشند و قابلیت های پلتفرم آموزشی ما را ارتقا دهند. شما با تیمی کوچک ولی متخصص از مهندسین، طراحان و مربیان در حوزه آموزش همکاری خواهید کرد تا راهکارهای نوآورانه ای ایجاد کنید که نیازهای مختلف یادگیرندگان و مدرسین را برآورده کند.', 'مسئولیت ها', 'تحقیق، توسعه و پیاده سازی الگوریتم ها و مدل های هوش مصنوعی برای ابزارهای یادگیری و پلتفرم آموزشی', 'طراحی و نظارت بر یکپارچگی مؤلفه های هوش مصنوعی در ابزارهای یادگیری و پلتفرم آموزشی ما', 'همکاری با سایر تیم های مجموعه برای جمع آوری نیازمندی ها، تعریف ویژگی ها و ارائه راهکار در مورد جوانب مربوط به هوش مصنوعی', 'کاوش و ارزیابی مداوم فناوری ها و روش های جدید هوش مصنوعی در حوزه آموزش', 'تحلیل داده ها و ارائه برآوردهایی برای بهبود کارایی و شخصی سازی ابزارهای یادگیری و پلتفرم آموزشی ما', 'همکاری نزدیک با مدرسان مجموعه و طراحان آموزشی برای درک نیازهای آنها و توسعه ویژگی های مبتنی بر هوش مصنوعی که اهداف آموزشی آنها را پشتیبانی می کند', 'به روز بودن با جریان جدیدترین روندها و پیشرفت های هوش مصنوعی و آموزشی و ارائه راه حل های نوآورانه و پیشگام.', 'الزامات', 'مدرک کارشناسی ارشد در رشته \xa0هوش مصنوعی', 'فهم قوی از الگوریتم های یادگیری ماشین، معماری های یادگیری عمیق و تکنیک های پردازش زبان طبیعی و بینایی ماشین', 'مهارت در زبان های برنامه نویسی به خصوص پایتون و چارچوب هایی مانند TensorFlow یا PyTorch', 'تجربه در تجزیه و تحلیل داده ها، پیش پردازش داده ها و مهندسی ویژگی', 'مهارت های قوی حل مسئله و توانایی تبدیل نیازهای تجاری به راه حل های هوش مصنوعی', 'مهارت های برقراری ارتباط و همکاری بالا، با توانایی کار مؤثر در محیط استارتاپ', 'علاقه مندی به حوزه آموزش و اراده قوی برای ایجاد تأثیر مثبت در این حوزه', 'مهارت های نوشتاری و کلامی عالی به زبان انگلیسی', 'آشنایی با ساخت API برای مدل های هوش مصنوعی مزیت محسوب میشود', 'مزایا', 'محیط کاری انعطاف پذیر و حامی که از خلاقیت و نوآوری استقبال میکند', 'فرصت کار با تیمی پویا و با استعداد از متخصص هایی که دغدغه ی تحول سیستم آموزش را دارند', 'حمایت از توسعه و پیشرفت فردی در بستر مجموعه', 'به روز بودن با آخرین روندها و پیشرفت های در حوزه هوش مصنوعی و آموزش و ارائه راه حل های نوآورانه', 'فرصتی برای تأثیرگذاری واقعی بر دنیای آموزش', 'فرصتی برای کار بر روی پروژه های پیشرفته هوش مصنوعی', 'اطلاعات تکمیلی و شرایط کار', 'تمام وقت(35 ساعت در هفته)', 'هیبریدی (حضوری/دورکاری)', 'ترجیحا ساکن تهران، اما در صورتی که امکان شرکت در جلسات آخر اسپرینت را به صورت حضوری دارید ما پذیرای همکاران ریموت نیز هستیم.', 'لطفا بصورت دقیق آگهی را مطالعه کنید سپس اقدام به ارسال رزومه نمایید؛ با توجه به نوع همکاری افراد واجد شرایط باید تمام فیچرهای فنی را داشته باشند.']","[('سن', '24 - 40 سال'), ('جنسیت', 'ترجیحاً خانم'), ('نرم افزارها', 'Python|متوسط')]"
برنامه نویس هوش مصنوعی,فراهوش,"{'City': 'ساری', 'Neighborhood': ''}",شنبه تا پنجشنبه ساعت 8 تا 15,تمام وقت یا پاره وقت,['Python - متوسط'],"['جای شما در تیم استارتاپی فراهوش خالیه...!', 'شرکت ایده فراهوش پویا سوران به چند نفر همکار برای تکمیل پروژه خود با دریافت مقداری از سهام شرکت نیاز \xa0دارد:', 'با توجه به اینکه هر تیم در زمان لانچ محصول نیاز به تیمی دارد که بتوانند در تمامی مراحل بصورت کامل روی پروژه باشند؛ هیات مدیره شرکت به آزاد سازی سهام اقدام کرده است.', 'در حال حاضر کمتر از یک ماه به تکمیل پروژه مانده است و بیش از یک میلیارد تومان در پروژه هزینه شده است با حضور در تیم بصورت رسمی و قانونی دریافت کننده سهام میشوید.', 'درصورت ادامه همکاری پروژه امریه در صورت مهیا شدن شرایط اعطا خواهد شد.', 'شرح وظایف', 'به عنوان متخصص هوش مصنوعی برای ابزارهای یادگیری و پلتفرم آموزشی در فراهوش، شما نقش کلیدی در طراحی، توسعه و اجرای راهکارهای هوش مصنوعی پیشرفته را دارید که تجربه یادگیری دانش آموزان را بهبود بخشند و قابلیت های پلتفرم آموزشی ما را ارتقا دهند. شما با تیمی کوچک ولی متخصص از مهندسین، طراحان و مربیان در حوزه آموزش همکاری خواهید کرد تا راهکارهای نوآورانه ای ایجاد کنید که نیازهای مختلف یادگیرندگان و مدرسین را برآورده کند.', 'مسئولیت ها', 'تحقیق، توسعه و پیاده سازی الگوریتم ها و مدل های هوش مصنوعی برای ابزارهای یادگیری و پلتفرم آموزشی', 'طراحی و نظارت بر یکپارچگی مؤلفه های هوش مصنوعی در ابزارهای یادگیری و پلتفرم آموزشی ما', 'همکاری با سایر تیم های مجموعه برای جمع آوری نیازمندی ها، تعریف ویژگی ها و ارائه راهکار در مورد جوانب مربوط به هوش مصنوعی', 'کاوش و ارزیابی مداوم فناوری ها و روش های جدید هوش مصنوعی در حوزه آموزش', 'تحلیل داده ها و ارائه برآوردهایی برای بهبود کارایی و شخصی سازی ابزارهای یادگیری و پلتفرم آموزشی ما', 'همکاری نزدیک با مدرسان مجموعه و طراحان آموزشی برای درک نیازهای آنها و توسعه ویژگی های مبتنی بر هوش مصنوعی که اهداف آموزشی آنها را پشتیبانی می کند', 'به روز بودن با جریان جدیدترین روندها و پیشرفت های هوش مصنوعی و آموزشی و ارائه راه حل های نوآورانه و پیشگام.', 'الزامات', 'مدرک کارشناسی ارشد در رشته \xa0هوش مصنوعی', 'فهم قوی از الگوریتم های یادگیری ماشین، معماری های یادگیری عمیق و تکنیک های پردازش زبان طبیعی و بینایی ماشین', 'مهارت در زبان های برنامه نویسی به خصوص پایتون و چارچوب هایی مانند TensorFlow یا PyTorch', 'تجربه در تجزیه و تحلیل داده ها، پیش پردازش داده ها و مهندسی ویژگی', 'مهارت های قوی حل مسئله و توانایی تبدیل نیازهای تجاری به راه حل های هوش مصنوعی', 'مهارت های برقراری ارتباط و همکاری بالا، با توانایی کار مؤثر در محیط استارتاپ', 'علاقه مندی به حوزه آموزش و اراده قوی برای ایجاد تأثیر مثبت در این حوزه', 'مهارت های نوشتاری و کلامی عالی به زبان انگلیسی', 'آشنایی با ساخت API برای مدل های هوش مصنوعی مزیت محسوب میشود', 'مزایا', 'محیط کاری انعطاف پذیر و حامی که از خلاقیت و نوآوری استقبال میکند', 'فرصت کار با تیمی پویا و با استعداد از متخصص هایی که دغدغه ی تحول سیستم آموزش را دارند', 'حمایت از توسعه و پیشرفت فردی در بستر مجموعه', 'به روز بودن با آخرین روندها و پیشرفت های در حوزه هوش مصنوعی و آموزش و ارائه راه حل های نوآورانه', 'فرصتی برای تأثیرگذاری واقعی بر دنیای آموزش', 'فرصتی برای کار بر روی پروژه های پیشرفته هوش مصنوعی', 'اطلاعات تکمیلی و شرایط کار', 'تمام وقت(35 ساعت در هفته)', 'هیبریدی (حضوری/دورکاری)', 'ترجیحا ساکن تهران، اما در صورتی که امکان شرکت در جلسات آخر اسپرینت را به صورت حضوری دارید ما پذیرای همکاران ریموت نیز هستیم.', 'لطفا بصورت دقیق آگهی را مطالعه کنید سپس اقدام به ارسال رزومه نمایید؛ با توجه به نوع همکاری افراد واجد شرایط باید تمام فیچرهای فنی را داشته باشند.']","[('سن', '24 - 40 سال'), ('جنسیت', 'ترجیحاً خانم'), ('نرم افزارها', 'Python|متوسط')]"
کارشناس پایگاه داده,پرداخت نوین آرین,"{'City': 'تهران', 'Neighborhood': '، سعادت آباد'}",8-17 شنبه تا چهارشنبه,تمام وقت,"['Sql Server - پیشرفته', 'Oracle Database - متوسط', 'PL-SQL - پیشرفته']",['شرح شغل و مهارتهای مورد نیاز:'],"[('سن', '24 - 50 سال'), ('جنسیت', 'تفاوتی ندارد'), ('خدمت سربازی', 'اتمام خدمت سربازی و یا معافیت از آن الزامی است'), ('تحصیلات', 'کارشناسی|کامپیوتر / فناوری اطلاعاتکارشناسی|مهندسی صنایع'), ('نرم افزارها', 'Sql Server|پیشرفتهOracle Database|متوسطPL-SQL|پیشرفته')]"
کارشناس بخش تحقیق و توسعه (R&D)- خانم,هازل شاپ,"{'City': 'تهران', 'Neighborhood': '، کریمخان زند'}",شنبه تا چهارشنبه از ساعت 9 الی 17 و پنجشنبه ها 9 الی 13,تمام وقت,"['Microsoft Word - متوسط', 'Microsoft Excel - متوسط', 'MATLAB - متوسط', 'SPSS - متوسط', 'Python - متوسط', 'R - متوسط']","['شرح شغل و وظایف', 'شرایط مورد نیاز', 'حقوق و مزایا']","[('سن', '24 - 40 سال'), ('جنسیت', 'فقط خانم'), ('تحصیلات', 'کارشناسی ارشد|مهندسی برقکارشناسی ارشد|مهندسی پزشکیکارشناسی ارشد|ریاضی و آمارکارشناسی ارشد|کامپیوتر / فناوری اطلاعاتکارشناسی ارشد|شیمیکارشناسی ارشد|مهندسی شیمی / پلیمرکارشناسی ارشد|داروسازیکارشناسی ارشد|بیوتکنولوژی'), ('زبان', 'انگلیسی|پیشرفته ۹۰٪'), ('نرم افزارها', 'R|متوسطSPSS|متوسطMicrosoft Excel|متوسطMicrosoft Word|متوسطPython|متوسطMATLAB|متوسط')]"
مهندس داده (Data Engineer),مهسان,"{'City': 'تهران', 'Neighborhood': '، عباس آباد (بهشتی)'}",شنبه تا چهارشنبه - 8:00 تا 16:45,تمام وقت,"['Java - پیشرفته', 'Python - متوسط', 'Linux - متوسط', 'Kafka - متوسط', 'Java SE - متوسط']","['مسئولیت های موقعیت شغلی مهندس داده (Data Engineer):', 'طراحی و پیاده سازی سامانه های داده محور مقیاس پذیر با استفاده از Kafka ، Hadoopو Cassandra', 'ارائه راه حل های ابتکاری و خلاق در فرایند توسعه ی نرم افزارهای مقیاس پذیر حوزه کلان داده', 'بررسی و بهینه سازی کارایی سامانه های داده محور', 'بررسی و استفاده از ابزارهای پرکاربرد و متن باز حوزه کلان داده', 'نیازمندی های اصلی:', 'حداقل2 سال سابقه ی کار مرتبط', 'تسلط بر توسعه نرم افزار با زبان برنامه نویسی Java و مفاهیم Java EE', 'تسلط بر مفاهیم شی گرایی، الگوهای برنامه نویسی، Concurrency و معماری نرم افزار', 'تسلط بر مفاهیم پایگاه داده (SQL, NoSQL)', 'آشنایی با ابزارها و رویه های توسعه نرم افزار مانند Unit Test, CI, Git', 'تجربه کار با لینوکس و آشنایی با مفاهیم سیستم عامل (process scheduling, disk/network I/O, performance)', 'توانایی تعامل موثر با اعضای تیم', 'نیازمندی های ترجیحی:', 'آشنایی با مفاهیم سیستم های توزیع شده (CAP, Consensus)', 'آشنایی با Cassandra', 'آشنایی با Kafka', 'آشنایی با مفاهیم Performance Engineering (JVM performance analysis, Java Memory Model/ GC. profile-guided optimization)', 'آشنایی با python']","[('سن', '20 - 35 سال'), ('جنسیت', 'تفاوتی ندارد'), ('نرم افزارها', 'Kafka|متوسطLinux|متوسطPython|متوسطJava|پیشرفتهJava SE|متوسط')]"
کارشناس پردازش تصویر,بهین علم فراجهان,"{'City': 'تهران', 'Neighborhood': '، طرشت'}",44 ساعت در هفته,تمام وقت,['OpenCV - پیشرفته'],"['مسلط به الگوریتم ها و روش های مبتنی بر GAN در بینایی ماشین', 'مسلط به توسعه الگوریتم های پردازش تصویر با OpenCV', 'مسلط به طراحی، آموزش و Transfer learning مدل های یادگیری ماشین با استفاده از Tensorflow یا Pytorch', 'آشنایی به deploy کردن مدل های پردازش تصویر و یادگیری ماشین امتیاز محسوب می گردد.']","[('جنسیت', 'تفاوتی ندارد'), ('زبان', 'انگلیسی|بالاتر از متوسط ۷۰٪'), ('نرم افزارها', 'OpenCV|پیشرفته')]"
متخصص پردازش سیگنال و گفتار,شرکت داده پرداز آفاق,"{'City': 'تهران', 'Neighborhood': '، رسالت'}",شنبه تا چهار شنبه 8:00 تا 16:50,تمام وقت,['Python - پیشرفته'],"['استخدام متخصص پردازش سیگنال و گفتار با تسلط خوب در شبکه های عصبی عمیق', 'ما در حال حاضر به دنبال یک متخصص پردازش سیگنال و گفتار با تسلط خوب در مفاهیم الگوریتم های یادگیری ماشین و شبکه های عصبی عمیق هستیم که با توانایی های خود، به توسعه و بهبود الگوریتم های پردازش سیگنال و گفتار ما کمک کند.', 'شرایط مورد نیاز:', 'وظایف شغلی:', 'اولویت ها:']","[('سن', '20 - 40 سال'), ('جنسیت', 'ترجیحاً آقا'), ('تحصیلات', 'کارشناسی ارشد|مهندسی برقکارشناسی|کامپیوتر / فناوری اطلاعات'), ('زبان', 'انگلیسی|متوسط ۵۰٪'), ('نرم افزارها', 'Python|پیشرفته')]"
